ATF1_(+),ATF4_(+),BATF_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CREM_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF3_(+),IRF7_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAZ_(+),NFATC2_(+),NFATC3_(+),NFKB1_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),PHF20_(+),RBPJ_(+),RUNX3_(+),RXRB_(+),STAT1_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB25_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
,RBM48,,,,,,USP34,,,YBX1,,,RUNX1,THUMPD3-AS1,,THRAP3,,RNF213,,,RPL34,,,,,,,,,,,,SQSTM1,LY6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRF2BP2,,,SPN,,,,
,RCC2,,,,,,USP7,,,YWHAE,,,RWDD4,TIMM17B,,TIMM17B,,RNF5,,,RPL35A,,,,,,,,,,,,SRP54,MAF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITCH,,,SPON2,,,,
,RER1,,,,,,VPS26B,,,YWHAZ,,,S100A8,TIMMDC1,,TINF2,,RNF7,,,RPL36,,,,,,,,,,,,SRRM1,MAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITGB1,,,SPSB3,,,,
,RHOC,,,,,,VPS37B,,,YY1,,,S100A9,TMEM109,,TLE4,,RNMT,,,RPL37,,,,,,,,,,,,SRSF2,MAP3K8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITGB2,,,SREK1IP1,,,,
,RIF1,,,,,,VPS51,,,ZFYVE16,,,S100B,TMEM230,,TM2D1,,RNPEPL1,,,RPL6,,,,,,,,,,,,SRSF3,MAPK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITM2A,,,SRP9,,,,
,RIN3,,,,,,WAC,,,ZNF281,,,SASH3,TMEM35B,,TMBIM6,,RORA,,,RPL7A,,,,,,,,,,,,SRSF5,MAPRE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITM2B,,,SRRM1,,,,
,RMND5A,,,,,,WAS,,,ZNF493,,,SAT1,TMIGD2,,TMC8,,RPAIN,,,RPL8,,,,,,,,,,,,SRSF6,MAPRE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTB,,,SRRM2,,,,
,RNF113A,,,,,,WBP2,,,ZNF585A,,,SCAMP3,TMSB10,,TMED5,,RPAP2,,,RPLP1,,,,,,,,,,,,SRSF7,MATK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUN,,,SSR2,,,,
,RNF168,,,,,,WDR1,,,ZNHIT1,,,SDCBP,TMUB1,,TMEM126B,,RPIA,,,RPLP2,,,,,,,,,,,,SSB,MCL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUND,,,STK4,,,,
,RNF6,,,,,,WDR20,,,,,,SDHB,TOB2,,TMEM219,,RPL10A,,,RPN1,,,,,,,,,,,,SSR2,MCM5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANSL1,,,STRIP1,,,,
,RNPC3,,,,,,WDR55,,,,,,SEC31A,TPD52L2,,TMEM256,,RPL34,,,RPS10,,,,,,,,,,,,SSR3,MDH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCNAB2,,,STXBP2,,,,
,RNPS1,,,,,,WDR61,,,,,,SELPLG,TPGS1,,TMSB4X,,RPL8,,,RPS11,,,,,,,,,,,,STK24,MEAF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCTD20,,,STYXL1,,,,
,ROCK1,,,,,,WIPF1,,,,,,SEPHS2,TSTD1,,TNFAIP8,,RPS11,,,RPS12,,,,,,,,,,,,STK25,MED10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDM2A,,,SUCLA2,,,,
,RPL10,,,,,,XCL2,,,,,,SERP1,TTC14,,TNFSF12,,RPS6KA5,,,RPS14,,,,,,,,,,,,SUGT1,MED19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDM5B,,,SUCLG2,,,,
,RPL10A,,,,,,YTHDC1,,,,,,SERTAD1,TYROBP,,TNRC6B,,RSBN1,,,RPS15A,,,,,,,,,,,,SUPT4H1,MED23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDM5C,,,SUN2,,,,
,RPL11,,,,,,ZAP70,,,,,,SETD5,UBA1,,TOMM22,,RSBN1L,,,RPS17,,,,,,,,,,,,TANK,MEPCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIN,,,SUPT4H1,,,,
,RPL12,,,,,,ZBTB20,,,,,,SF3A3,UBA52,,TOP2B,,RUNX3,,,RPS19,,,,,,,,,,,,TBCA,METTL14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLF10,,,SUPT5H,,,,
,RPL13,,,,,,ZFP36L2,,,,,,SFI1,UBAC2,,TOR2A,,RWDD1,,,RPS20,,,,,,,,,,,,TET2,METTL15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLF12,,,SYNJ2BP,,,,
,RPL13A,,,,,,ZNF276,,,,,,SFPQ,UBB,,TP53I13,,S100A6,,,RPS24,,,,,,,,,,,,TEX264,MIAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLHL28,,,SYNRG,,,,
,RPL14,,,,,,ZNF655,,,,,,SFR1,UBE2F,,TPGS1,,S1PR4,,,RPS26,,,,,,,,,,,,TMED2,MIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLRD1,,,TADA3,,,,
,RPL17,,,,,,ZNF706,,,,,,SFT2D1,UBE2J2,,TPT1,,S1PR5,,,RPS27,,,,,,,,,,,,TMEM107,MIS12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KPNA4,,,TAF12,,,,
,RPL18,,,,,,ZNF791,,,,,,SH3BGRL,UBE2Q1,,TRA2A,,SAFB,,,RPS27A,,,,,,,,,,,,TMEM14B,MKNK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAMP1,,,TATDN1,,,,
,RPL18A,,,,,,,,,,,,SLAIN2,UBE2R2,,TRA2B,,SAMHD1,,,RPS3A,,,,,,,,,,,,TMEM179B,MMADHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LASP1,,,TBC1D9B,,,,
,RPL19,,,,,,,,,,,,SLAMF7,UBL5,,TRIM22,,SDF4,,,RPS4X,,,,,,,,,,,,TMEM230,MOB1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBH,,,TBPL1,,,,
,RPL21,,,,,,,,,,,,SLC27A3,UBLCP1,,TSC22D3,,SDHAF2,,,RPS4Y1,,,,,,,,,,,,TMSB10,MPPE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LENG8,,,THAP1,,,,
,RPL23,,,,,,,,,,,,SLC2A3,UBQLN1,,TSR2,,SEC31A,,,RPS5,,,,,,,,,,,,TOMM22,MRPL27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEPROTL1,,,TIMM10,,,,
,RPL23A,,,,,,,,,,,,SMAD7,UBR5,,TUBA1C,,SEC61G,,,RPS6,,,,,,,,,,,,TPI1,MRPL38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGALS3,,,TIMM17A,,,,
,RPL24,,,,,,,,,,,,SMARCE1,UFL1,,TUBB4B,,SERF2,,,RPS7,,,,,,,,,,,,TPM3,MRPL57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINC00299,,,TIMM8B,,,,
,RPL26,,,,,,,,,,,,SNAP23,UGP2,,TUBGCP2,,SERPINB1,,,RRN3,,,,,,,,,,,,TRAF3IP3,MRPS10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINC01004,,,TIMMDC1,,,,
,RPL26L1,,,,,,,,,,,,SNHG8,UPF3B,,TUSC2,,SGSM3,,,RRP15,,,,,,,,,,,,TRIB2,MRPS21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINC01588,,,TIMP1,,,,
,RPL27,,,,,,,,,,,,SNRNP70,UQCR11,,TYK2,,SH2D1B,,,RSRP1,,,,,,,,,,,,TRMT112,MRPS7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMAN1,,,TM9SF2,,,,
,RPL27A,,,,,,,,,,,,SNRPD1,UQCRC1,,U2SURP,,SH3BP2,,,RTF1,,,,,,,,,,,,TSPAN17,MTRNR2L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRRC47,,,TMC6,,,,
,RPL28,,,,,,,,,,,,SNRPE,UQCRQ,,UBA1,,SH3BP5,,,RUNX1,,,,,,,,,,,,TSPO,MYL12A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRRC58,,,TMEM126B,,,,
,RPL29,,,,,,,,,,,,SP100,URM1,,UBC,,SH3KBP1,,,RWDD1,,,,,,,,,,,,TSPYL2,MYOM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRRFIP1,,,TMEM147,,,,
,RPL32,,,,,,,,,,,,SPG21,UROS,,UBE2A,,SIAH2,,,SAMD3,,,,,,,,,,,,TTC1,MZT2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSM1,,,TMEM243,,,,
,RPL35,,,,,,,,,,,,SPOP,USP47,,UBE2D3,,SIGIRR,,,SAP30BP,,,,,,,,,,,,TUBA1A,NACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSM14A,,,TMEM248,,,,
,RPL35A,,,,,,,,,,,,SPRY2,UXT,,UBE2E1,,SLC25A39,,,SARAF,,,,,,,,,,,,TYROBP,NAP1L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSM8,,,TMEM9B,,,,
,RPL36,,,,,,,,,,,,SPTSSB,VAMP8,,UBE2E3,,SLC3A2,,,SCAF8,,,,,,,,,,,,UBB,NAPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSP1,,,TMIGD2,,,,
,RPL37,,,,,,,,,,,,SRGN,VPS4A,,UBE2S,,SLIRP,,,SEC23B,,,,,,,,,,,,UBC,NAPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYN,,,TMSB10,,,,
,RPL37A,,,,,,,,,,,,SRRM1,VRK3,,UBE2V1,,SMARCC2,,,SF3B3,,,,,,,,,,,,UBE2J1,NCK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYPLA1,,,TRAF3IP3,,,,
,RPL38,,,,,,,,,,,,SRSF10,WAC,,UBP1,,SNAP29,,,SFSWAP,,,,,,,,,,,,UBE2V2,NCOA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYPLA2,,,TRAPPC6A,,,,
,RPL39,,,,,,,,,,,,SSNA1,WAPL,,UPF2,,SNHG7,,,SH2D1A,,,,,,,,,,,,UBL5,NDUFA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAFF,,,TRIM22,,,,
,RPL4,,,,,,,,,,,,SSR2,WAS,,UQCR10,,SNRNP35,,,SH3GLB1,,,,,,,,,,,,UBXN1,NDUFS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAP2K2,,,TRIM33,,,,
,RPL41,,,,,,,,,,,,STARD3,WDR55,,USP15,,SNRPB,,,SKIL,,,,,,,,,,,,UFM1,NDUFS8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAP3K8,,,TRIM8,,,,
,RPL5,,,,,,,,,,,,STARD7,WSB1,,VAMP2,,SNX6,,,SKP1,,,,,,,,,,,,UQCR11,NEAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAPK1IP1L,,,TRMT13,,,,
,RPL6,,,,,,,,,,,,STK16,XAF1,,VBP1,,SPCS3,,,SLC38A1,,,,,,,,,,,,UQCRH,NELFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAZ,,,TSPYL2,,,,
,RPL8,,,,,,,,,,,,SUDS3,YWHAZ,,VCP,,SPTAN1,,,SLC39A7,,,,,,,,,,,,UQCRQ,NEU1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCM7,,,TTC38,,,,
,RPL9,,,,,,,,,,,,SYNE2,YY1,,VIM,,SQSTM1,,,SLIRP,,,,,,,,,,,,URM1,NFATC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDM2,,,TUFM,,,,
,RPLP1,,,,,,,,,,,,SYNRG,ZBTB7A,,VPS13C,,SREK1IP1,,,SMAD7,,,,,,,,,,,,USP1,NFE2L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDM4,,,TXN2,,,,
,RPLP2,,,,,,,,,,,,TAF11,ZFAND1,,WDR45B,,SS18,,,SMARCC1,,,,,,,,,,,,UXT,NFKBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MED11,,,TXNDC17,,,,
,RPS10,,,,,,,,,,,,TAF13,ZNF148,,XIST,,SSNA1,,,SMG1,,,,,,,,,,,,VDAC1,NFKBIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MED17,,,TXNL4A,,,,
,RPS12,,,,,,,,,,,,TAF3,ZNF428,,YTHDF2,,STARD3NL,,,SMS,,,,,,,,,,,,VHL,NFKBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MED23,,,UBA1,,,,
,RPS13,,,,,,,,,,,,TAGLN2,ZNF487,,YWHAB,,STAT4,,,SNHG5,,,,,,,,,,,,VIM,NFKBIZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MED6,,,UBE2E3,,,,
,RPS14,,,,,,,,,,,,TBPL1,ZNF791,,YWHAH,,STK25,,,SNHG6,,,,,,,,,,,,VTI1A,NIFK-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METRNL,,,UBE2G2,,,,
,RPS15,,,,,,,,,,,,TCF7,ZNHIT1,,YY1,,STK26,,,SNRPB,,,,,,,,,,,,WBP2,NKTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEX3C,,,UBE2M,,,,
,RPS15A,,,,,,,,,,,,TDG,,,ZC3H18,,STX10,,,SNRPD1,,,,,,,,,,,,WDR74,NME1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFF,,,UBE2Q1,,,,
,RPS16,,,,,,,,,,,,TERF2IP,,,ZDHHC6,,STX4,,,SNRPE,,,,,,,,,,,,WDSUB1,NOL11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFSD10,,,UBQLN1,,,,
,RPS17,,,,,,,,,,,,TGS1,,,ZFAND1,,SUCLG1,,,SNU13,,,,,,,,,,,,XBP1,NOLC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MKNK2,,,UBR5,,,,
,RPS18,,,,,,,,,,,,THAP11,,,ZFAND6,,SURF1,,,SNX1,,,,,,,,,,,,XCL2,NPC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MKRN1,,,UBTF,,,,
,RPS20,,,,,,,,,,,,THRAP3,,,ZFAS1,,SYAP1,,,SNX14,,,,,,,,,,,,YIF1A,NPM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMADHC,,,UBXN1,,,,
,RPS21,,,,,,,,,,,,THYN1,,,ZFR,,SYF2,,,SOCS3,,,,,,,,,,,,YME1L1,NPRL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNT,,,UCP2,,,,
,RPS23,,,,,,,,,,,,TIMM10,,,,,SYNE1,,,SOD2,,,,,,,,,,,,YWHAQ,NR4A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOB1A,,,UFC1,,,,
,RPS24,,,,,,,,,,,,TIMM8B,,,,,SYNE2,,,SP3,,,,,,,,,,,,YWHAZ,NR4A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORF4L1,,,ULK3,,,,
,RPS25,,,,,,,,,,,,TIMMDC1,,,,,SYNRG,,,SPAG7,,,,,,,,,,,,ZBP1,NSMCE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPHOSPH8,,,URI1,,,,
,RPS26,,,,,,,,,,,,TM2D1,,,,,TADA3,,,SPEN,,,,,,,,,,,,ZC3H15,NSMCE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL11,,,USP16,,,,
,RPS27,,,,,,,,,,,,TM9SF2,,,,,TAF10,,,SRP14,,,,,,,,,,,,ZC3HAV1,NXT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL16,,,UTP18,,,,
,RPS27A,,,,,,,,,,,,TMBIM4,,,,,TAF12,,,SRP72,,,,,,,,,,,,ZFAND6,ODC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL18,,,UXS1,,,,
,RPS28,,,,,,,,,,,,TMBIM6,,,,,TAF1D,,,SRP9,,,,,,,,,,,,ZFAS1,OGFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL24,,,VAMP2,,,,
,RPS3A,,,,,,,,,,,,TMED1,,,,,TAF7,,,SRSF5,,,,,,,,,,,,ZMAT2,ORAI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL28,,,VCP,,,,
,RPS6,,,,,,,,,,,,TMEM126A,,,,,TANK,,,SRSF7,,,,,,,,,,,,ZNF431,ORMDL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL3,,,VOPP1,,,,
,RPS7,,,,,,,,,,,,TMEM134,,,,,TBC1D10C,,,SSR3,,,,,,,,,,,,ZNF622,OXR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL38,,,VPS51,,,,
,RPS9,,,,,,,,,,,,TMEM167A,,,,,TBXAS1,,,STIM2,,,,,,,,,,,,ZNF721,P4HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL48,,,VPS72,,,,
,RRP8,,,,,,,,,,,,TMEM256,,,,,TC2N,,,STK17B,,,,,,,,,,,,ZNHIT1,PABPC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL51,,,WAC,,,,
,RSRP1,,,,,,,,,,,,TMOD3,,,,,TCF25,,,STX17,,,,,,,,,,,,ZRANB2,PAFAH1B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL54,,,WAS,,,,
,RTF1,,,,,,,,,,,,TMSB4X,,,,,TDG,,,SUB1,,,,,,,,,,,,ZSCAN16-AS1,PAFAH1B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL55,,,WDR1,,,,
,RUNX1,,,,,,,,,,,,TNFAIP3,,,,,TDRD3,,,SUCLG1,,,,,,,,,,,,ZSCAN18,PAIP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPS12,,,WDR33,,,,
,S100A10,,,,,,,,,,,,TNFRSF14,,,,,THAP9-AS1,,,SURF1,,,,,,,,,,,,,PAN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPS34,,,WDR55,,,,
,S100A6,,,,,,,,,,,,TNFSF12,,,,,THOC3,,,SYNGR2,,,,,,,,,,,,,PAPOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSN,,,XRCC6,,,,
,SACM1L,,,,,,,,,,,,TNPO1,,,,,TIMM13,,,SYPL1,,,,,,,,,,,,,PBRM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MX1,,,YES1,,,,
,SAMD9,,,,,,,,,,,,TOMM7,,,,,TLE1,,,TAPBPL,,,,,,,,,,,,,PCBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYBL1,,,YLPM1,,,,
,SAR1A,,,,,,,,,,,,TOR2A,,,,,TMBIM1,,,TAX1BP1,,,,,,,,,,,,,PCBP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYL12A,,,YTHDC1,,,,
,SARAF,,,,,,,,,,,,TP53,,,,,TMEM120B,,,TBCA,,,,,,,,,,,,,PCED1B-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYL6,,,YWHAB,,,,
,SCAMP2,,,,,,,,,,,,TP53TG1,,,,,TMEM138,,,TBL1XR1,,,,,,,,,,,,,PCNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N4BP2L1,,,ZAP70,,,,
,SCPEP1,,,,,,,,,,,,TPGS1,,,,,TMEM183A,,,TBPL1,,,,,,,,,,,,,PDIA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAA38,,,ZBTB7A,,,,
,SEC11A,,,,,,,,,,,,TPRKB,,,,,TMEM208,,,TCP11L2,,,,,,,,,,,,,PDPK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NABP2,,,ZDHHC6,,,,
,SEC61G,,,,,,,,,,,,TRABD,,,,,TMEM219,,,TCTN3,,,,,,,,,,,,,PEF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NACA,,,ZFX,,,,
,SENP7,,,,,,,,,,,,TRIM28,,,,,TMEM248,,,TGFB1,,,,,,,,,,,,,PFDN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NADK,,,ZNF148,,,,
,SERTAD1,,,,,,,,,,,,TSC22D3,,,,,TMEM70,,,THEM4,,,,,,,,,,,,,PGLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAP1L1,,,ZNF276,,,,
,SF3A1,,,,,,,,,,,,TSPAN14,,,,,TMIGD2,,,THOC2,,,,,,,,,,,,,PHLDA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCL,,,ZNF394,,,,
,SF3B1,,,,,,,,,,,,TSPAN2,,,,,TMSB4X,,,THOC7,,,,,,,,,,,,,PIGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCLN,,,ZNF487,,,,
,SFI1,,,,,,,,,,,,TSPAN31,,,,,TMX2,,,TIMM13,,,,,,,,,,,,,PIH1D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NDFIP1,,,,,,,
,SFPQ,,,,,,,,,,,,TSR1,,,,,TNF,,,TMEM141,,,,,,,,,,,,,PIK3R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NDUFA11,,,,,,,
,SH3BP1,,,,,,,,,,,,TTC1,,,,,TNRC6B,,,TMEM167A,,,,,,,,,,,,,PIM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NDUFA3,,,,,,,
,SH3KBP1,,,,,,,,,,,,TTC3,,,,,TPGS1,,,TMEM80,,,,,,,,,,,,,PIM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NDUFB10,,,,,,,
,SKAP2,,,,,,,,,,,,TUSC2,,,,,TPT1-AS1,,,TNIP1,,,,,,,,,,,,,PITHD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NDUFC2,,,,,,,
,SLBP,,,,,,,,,,,,TXNDC17,,,,,TRA2A,,,TOB1,,,,,,,,,,,,,PITPNC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NDUFS3,,,,,,,
,SLC25A11,,,,,,,,,,,,TXNIP,,,,,TRAPPC1,,,TOLLIP,,,,,,,,,,,,,PLCL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NDUFS7,,,,,,,
,SLC25A3,,,,,,,,,,,,UBA1,,,,,TRAPPC4,,,TOMM22,,,,,,,,,,,,,PLEKHM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NDUFS8,,,,,,,
,SLC4A7,,,,,,,,,,,,UBA52,,,,,TRIM44,,,TOP2B,,,,,,,,,,,,,PMAIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NECAP2,,,,,,,
,SLC52A2,,,,,,,,,,,,UBALD2,,,,,TRMT112,,,TPM3,,,,,,,,,,,,,PNPLA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEDD8,,,,,,,
,SLFN5,,,,,,,,,,,,UBB,,,,,TRPC4AP,,,TPP2,,,,,,,,,,,,,PNRC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFAT5,,,,,,,
,SLU7,,,,,,,,,,,,UBE2E1,,,,,TSPYL2,,,TPT1,,,,,,,,,,,,,POLDIP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGLY1,,,,,,,
,SMARCE1,,,,,,,,,,,,UBE2V1,,,,,TUBB4B,,,TRA2B,,,,,,,,,,,,,POLR2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIN,,,,,,,
,SMC4,,,,,,,,,,,,UFL1,,,,,TUBGCP6,,,TRMT10C,,,,,,,,,,,,,PPHLN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIPA2,,,,,,,
,SMG1,,,,,,,,,,,,UPF3A,,,,,TUG1,,,TSG101,,,,,,,,,,,,,PPM1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NKG7,,,,,,,
,SMG7,,,,,,,,,,,,UQCC2,,,,,TWF1,,,TTC39B,,,,,,,,,,,,,PPP1R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLRC5,,,,,,,
,SMYD4,,,,,,,,,,,,UQCR10,,,,,TXN2,,,TUBA1A,,,,,,,,,,,,,PPP1R15A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NME1,,,,,,,
,SNAPIN,,,,,,,,,,,,URI1,,,,,UBAC2,,,TUG1,,,,,,,,,,,,,PPP1R15B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NME2,,,,,,,
,SNF8,,,,,,,,,,,,URM1,,,,,UBE3A,,,TXNDC17,,,,,,,,,,,,,PPP1R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NMRAL1,,,,,,,
,SNRK,,,,,,,,,,,,USP15,,,,,UCP2,,,U2AF1,,,,,,,,,,,,,PPP1R35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORAD,,,,,,,
,SNRPA1,,,,,,,,,,,,USP3,,,,,UNC119,,,UBB,,,,,,,,,,,,,PPP6C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NR1H2,,,,,,,
,SNRPE,,,,,,,,,,,,UXT,,,,,UQCR11,,,UBE2D2,,,,,,,,,,,,,PPP6R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSD1,,,,,,,
,SNX10,,,,,,,,,,,,VCL,,,,,USB1,,,UBE2D3,,,,,,,,,,,,,PQBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT5C,,,,,,,
,SNX17,,,,,,,,,,,,VCP,,,,,USP24,,,UBE2J1,,,,,,,,,,,,,PRDM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUB1,,,,,,,
,SNX2,,,,,,,,,,,,VIM,,,,,UTS2,,,UBE2L3,,,,,,,,,,,,,PRKAA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUCB1,,,,,,,
,SPAG9,,,,,,,,,,,,VPS28,,,,,UXT,,,UBE3A,,,,,,,,,,,,,PRKAG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUTF2,,,,,,,
