ARID3A_(+),ARID5B_(+),ARNTL_(+),ATF1_(+),ATF4_(+),ATF6B_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREB3L2_(+),CREM_(+),CTCF_(+),CUX1_(+),DDIT3_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXO3_(+),FOXP1_(+),GATA3_(+),GATAD1_(+),GATAD2A_(+),GTF2I_(+),HMBOX1_(+),HMG20B_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAX_(+),MGA_(+),MLX_(+),MXD1_(+),MXD4_(+),MYBL1_(+),NFATC2_(+),NFE2L2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PBX2_(+),PHF20_(+),PRDM1_(+),PURA_(+),RUNX3_(+),RXRB_(+),SMARCC2_(+),SP3_(+),STAT1_(+),STAT3_(+),STAT6_(+),TAF6_(+),TBX21_(+),TCF7_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB43_(+),ZBTB7A_(+),ZFP91_(+),ZFX_(+),ZNF148_(+),ZNF224_(+),ZNF226_(+),ZNF274_(+),ZNF33A_(+),ZNF350_(+),ZNF429_(+),ZNF480_(+),ZNF518A_(+),ZNF580_(+),ZNF600_(+)
,,,,,,,,ZDHHC20,,,,,,,,,,,,,SRSF1,,,,,SAP30BP,,,,,,,,,,,,,,,,,,,,,,,,,,,SRP54,,,,,,,,,,,,,,,,,,,,,,RAB27A,,,,,,,,,,,,,,,,RPL24,SAP30BP,,,,,,,,,,,,,,,
,,,,,,,,ZFAND3,,,,,,,,,,,,,SSB,,,,,SEC11C,,,,,,,,,,,,,,,,,,,,,,,,,,,SRSF3,,,,,,,,,,,,,,,,,,,,,,RABGEF1,,,,,,,,,,,,,,,,RPL26L1,SAR1A,,,,,,,,,,,,,,,
,,,,,,,,ZMYND11,,,,,,,,,,,,,SSNA1,,,,,SERF2,,,,,,,,,,,,,,,,,,,,,,,,,,,SRSF5,,,,,,,,,,,,,,,,,,,,,,RAC1,,,,,,,,,,,,,,,,RPL27A,SBF1,,,,,,,,,,,,,,,
,,,,,,,,ZNF207,,,,,,,,,,,,,SSR1,,,,,SERP1,,,,,,,,,,,,,,,,,,,,,,,,,,,SSNA1,,,,,,,,,,,,,,,,,,,,,,RAD23A,,,,,,,,,,,,,,,,RPL28,SCAF11,,,,,,,,,,,,,,,
,,,,,,,,ZNF524,,,,,,,,,,,,,STAT3,,,,,SERPINB1,,,,,,,,,,,,,,,,,,,,,,,,,,,SSR3,,,,,,,,,,,,,,,,,,,,,,RAD23B,,,,,,,,,,,,,,,,RPL29,SEC22C,,,,,,,,,,,,,,,
,,,,,,,,ZNF622,,,,,,,,,,,,,STAU1,,,,,SH3BGRL3,,,,,,,,,,,,,,,,,,,,,,,,,,,STRAP,,,,,,,,,,,,,,,,,,,,,,RAP2C,,,,,,,,,,,,,,,,RPL32,SEC61G,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,STAU2,,,,,SH3BP5,,,,,,,,,,,,,,,,,,,,,,,,,,,SYAP1,,,,,,,,,,,,,,,,,,,,,,RASA2,,,,,,,,,,,,,,,,RPL34,SERF2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,STX8,,,,,SHISA5,,,,,,,,,,,,,,,,,,,,,,,,,,,TAF12,,,,,,,,,,,,,,,,,,,,,,RASGRP1,,,,,,,,,,,,,,,,RPL36,SERPINB1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,SYNCRIP,,,,,SIRT2,,,,,,,,,,,,,,,,,,,,,,,,,,,TAF1D,,,,,,,,,,,,,,,,,,,,,,RB1CC1,,,,,,,,,,,,,,,,RPL37,SERPINB6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,SYTL2,,,,,SMDT1,,,,,,,,,,,,,,,,,,,,,,,,,,,TAGLN2,,,,,,,,,,,,,,,,,,,,,,RBBP7,,,,,,,,,,,,,,,,RPL39L,SETX,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TAPBPL,,,,,SNF8,,,,,,,,,,,,,,,,,,,,,,,,,,,TAPBPL,,,,,,,,,,,,,,,,,,,,,,RBL2,,,,,,,,,,,,,,,,RPL6,SF3B2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TATDN1,,,,,SNRPB2,,,,,,,,,,,,,,,,,,,,,,,,,,,TBCC,,,,,,,,,,,,,,,,,,,,,,RER1,,,,,,,,,,,,,,,,RPL7A,SH2D1B,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TCF7,,,,,SNRPD2,,,,,,,,,,,,,,,,,,,,,,,,,,,TCEAL8,,,,,,,,,,,,,,,,,,,,,,RHEB,,,,,,,,,,,,,,,,RPL8,SH3BGRL3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TFEB,,,,,SNX6,,,,,,,,,,,,,,,,,,,,,,,,,,,TFEB,,,,,,,,,,,,,,,,,,,,,,RHOT2,,,,,,,,,,,,,,,,RPLP1,SH3BP5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,THRAP3,,,,,SP110,,,,,,,,,,,,,,,,,,,,,,,,,,,THOC2,,,,,,,,,,,,,,,,,,,,,,RIF1,,,,,,,,,,,,,,,,RPS12,SLA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,THUMPD1,,,,,SPCS3,,,,,,,,,,,,,,,,,,,,,,,,,,,TM9SF2,,,,,,,,,,,,,,,,,,,,,,RNF113A,,,,,,,,,,,,,,,,RPS14,SLC25A3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TMBIM6,,,,,SPG21,,,,,,,,,,,,,,,,,,,,,,,,,,,TM9SF3,,,,,,,,,,,,,,,,,,,,,,RNF166,,,,,,,,,,,,,,,,RPS19,SLC44A2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TMED7,,,,,SPG7,,,,,,,,,,,,,,,,,,,,,,,,,,,TMBIM6,,,,,,,,,,,,,,,,,,,,,,RORA,,,,,,,,,,,,,,,,RPS19BP1,SLIRP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TMEM107,,,,,SPON2,,,,,,,,,,,,,,,,,,,,,,,,,,,TMED2,,,,,,,,,,,,,,,,,,,,,,RPA2,,,,,,,,,,,,,,,,RPS20,SMARCA4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TMEM123,,,,,SPTBN1,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM107,,,,,,,,,,,,,,,,,,,,,,RPF1,,,,,,,,,,,,,,,,RPS24,SMARCE1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TMEM134,,,,,SQSTM1,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM14B,,,,,,,,,,,,,,,,,,,,,,RPL12,,,,,,,,,,,,,,,,RPS26,SMIM7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TMEM199,,,,,SRP19,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM208,,,,,,,,,,,,,,,,,,,,,,RPL24,,,,,,,,,,,,,,,,RPS27,SMNDC1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TMEM219,,,,,SRSF11,,,,,,,,,,,,,,,,,,,,,,,,,,,TMSB4X,,,,,,,,,,,,,,,,,,,,,,RPL4,,,,,,,,,,,,,,,,RPS27A,SNRPB2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TMSB4X,,,,,SRSF5,,,,,,,,,,,,,,,,,,,,,,,,,,,TOMM22,,,,,,,,,,,,,,,,,,,,,,RPS21,,,,,,,,,,,,,,,,RPS4X,SNRPC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TNFRSF1B,,,,,SRSF9,,,,,,,,,,,,,,,,,,,,,,,,,,,TOP1,,,,,,,,,,,,,,,,,,,,,,RPS24,,,,,,,,,,,,,,,,RPS4Y1,SNW1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TOMM20,,,,,SSR4,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI1,,,,,,,,,,,,,,,,,,,,,,RPUSD3,,,,,,,,,,,,,,,,RPS5,SNX14,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TOMM6,,,,,STAT6,,,,,,,,,,,,,,,,,,,,,,,,,,,TPT1,,,,,,,,,,,,,,,,,,,,,,RUNX3,,,,,,,,,,,,,,,,RPS6,SOD1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TP53,,,,,STIM2,,,,,,,,,,,,,,,,,,,,,,,,,,,TRA2A,,,,,,,,,,,,,,,,,,,,,,S100PBP,,,,,,,,,,,,,,,,RPS7,SP100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TP53TG1,,,,,STK17A,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAF3IP3,,,,,,,,,,,,,,,,,,,,,,SARAF,,,,,,,,,,,,,,,,RRP1B,SPOP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TPST2,,,,,STK17B,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAPPC10,,,,,,,,,,,,,,,,,,,,,,SARS,,,,,,,,,,,,,,,,RSL1D1,SPTAN1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TRABD,,,,,STK25,,,,,,,,,,,,,,,,,,,,,,,,,,,TSC22D3,,,,,,,,,,,,,,,,,,,,,,SAT1,,,,,,,,,,,,,,,,RSL24D1,SQSTM1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TRAPPC10,,,,,STRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,TSPAN14,,,,,,,,,,,,,,,,,,,,,,SCAF11,,,,,,,,,,,,,,,,RTN4,SRPK2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TRG-AS1,,,,,STUB1,,,,,,,,,,,,,,,,,,,,,,,,,,,TSPAN3,,,,,,,,,,,,,,,,,,,,,,SCAND1,,,,,,,,,,,,,,,,RUNX1,SRRM1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TRIM22,,,,,STX5,,,,,,,,,,,,,,,,,,,,,,,,,,,TSPYL2,,,,,,,,,,,,,,,,,,,,,,SDCBP,,,,,,,,,,,,,,,,S1PR4,SRSF10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TRIM33,,,,,SUB1,,,,,,,,,,,,,,,,,,,,,,,,,,,TTC39C,,,,,,,,,,,,,,,,,,,,,,SEC11C,,,,,,,,,,,,,,,,SAMD9,SRSF5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TRIM44,,,,,SUCLG1,,,,,,,,,,,,,,,,,,,,,,,,,,,TUBGCP6,,,,,,,,,,,,,,,,,,,,,,SEC22B,,,,,,,,,,,,,,,,SAP18,SRSF6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TSC22D3,,,,,SUGT1,,,,,,,,,,,,,,,,,,,,,,,,,,,TWISTNB,,,,,,,,,,,,,,,,,,,,,,SEC22C,,,,,,,,,,,,,,,,SAP30BP,STARD3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TSEN54,,,,,SUMO2,,,,,,,,,,,,,,,,,,,,,,,,,,,TYROBP,,,,,,,,,,,,,,,,,,,,,,SEC61A1,,,,,,,,,,,,,,,,SAR1A,STRAP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TSPYL1,,,,,SUPT16H,,,,,,,,,,,,,,,,,,,,,,,,,,,U2AF1L4,,,,,,,,,,,,,,,,,,,,,,SEC61B,,,,,,,,,,,,,,,,SART1,SUMO1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TTC3,,,,,SYAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,UAP1,,,,,,,,,,,,,,,,,,,,,,SEC62,,,,,,,,,,,,,,,,SDAD1,SUN2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TXN,,,,,SYF2,,,,,,,,,,,,,,,,,,,,,,,,,,,UBB,,,,,,,,,,,,,,,,,,,,,,SERINC1,,,,,,,,,,,,,,,,SEC22B,SYNCRIP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TYMP,,,,,SYNGR2,,,,,,,,,,,,,,,,,,,,,,,,,,,UBC,,,,,,,,,,,,,,,,,,,,,,SERINC3,,,,,,,,,,,,,,,,SEC22C,SZRD1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,U2SURP,,,,,SYS1,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2B,,,,,,,,,,,,,,,,,,,,,,SF1,,,,,,,,,,,,,,,,SEC23IP,TAF10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UBAC2,,,,,SYTL1,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2I,,,,,,,,,,,,,,,,,,,,,,SGF29,,,,,,,,,,,,,,,,SERINC1,TAOK3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UBE2B,,,,,TAPBPL,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE3A,,,,,,,,,,,,,,,,,,,,,,SH2D2A,,,,,,,,,,,,,,,,SF3B6,TAP1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UBE2L6,,,,,TCEA1,,,,,,,,,,,,,,,,,,,,,,,,,,,UBL5,,,,,,,,,,,,,,,,,,,,,,SH3BP5,,,,,,,,,,,,,,,,SH3BP2,TBCB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UBE2N,,,,,TGFB1,,,,,,,,,,,,,,,,,,,,,,,,,,,UBTF,,,,,,,,,,,,,,,,,,,,,,SH3GLB1,,,,,,,,,,,,,,,,SLA,TEX264,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UBE2Z,,,,,TGFBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,UFC1,,,,,,,,,,,,,,,,,,,,,,SH3KBP1,,,,,,,,,,,,,,,,SLC16A7,TGOLN2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UBXN7,,,,,THOC7,,,,,,,,,,,,,,,,,,,,,,,,,,,UQCR11,,,,,,,,,,,,,,,,,,,,,,SHOC2,,,,,,,,,,,,,,,,SLC25A37,THOC7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UFC1,,,,,TIMM17B,,,,,,,,,,,,,,,,,,,,,,,,,,,UQCRB,,,,,,,,,,,,,,,,,,,,,,SLAIN2,,,,,,,,,,,,,,,,SLC35A3,THYN1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UGP2,,,,,TKT,,,,,,,,,,,,,,,,,,,,,,,,,,,URI1,,,,,,,,,,,,,,,,,,,,,,SLC20A1,,,,,,,,,,,,,,,,SLC35C2,TIGIT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UNC50,,,,,TMEM189,,,,,,,,,,,,,,,,,,,,,,,,,,,USP16,,,,,,,,,,,,,,,,,,,,,,SLC2A4RG,,,,,,,,,,,,,,,,SLC39A7,TIPRL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UPF3A,,,,,TMEM50B,,,,,,,,,,,,,,,,,,,,,,,,,,,USP34,,,,,,,,,,,,,,,,,,,,,,SLC50A1,,,,,,,,,,,,,,,,SLIRP,TMED9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UQCR10,,,,,TMEM70,,,,,,,,,,,,,,,,,,,,,,,,,,,VDAC1,,,,,,,,,,,,,,,,,,,,,,SLC9A3R1,,,,,,,,,,,,,,,,SLU7,TMEM106C,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,USF2,,,,,TMF1,,,,,,,,,,,,,,,,,,,,,,,,,,,VOPP1,,,,,,,,,,,,,,,,,,,,,,SLIRP,,,,,,,,,,,,,,,,SMARCA5,TMEM147,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,USP48,,,,,TMIGD2,,,,,,,,,,,,,,,,,,,,,,,,,,,VPS4A,,,,,,,,,,,,,,,,,,,,,,SMAP2,,,,,,,,,,,,,,,,SMARCE1,TMEM208,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UXT,,,,,TMSB4X,,,,,,,,,,,,,,,,,,,,,,,,,,,WAC,,,,,,,,,,,,,,,,,,,,,,SMARCA5,,,,,,,,,,,,,,,,SMC4,TMEM248,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,VPS13C,,,,,TMUB1,,,,,,,,,,,,,,,,,,,,,,,,,,,WDR37,,,,,,,,,,,,,,,,,,,,,,SMCHD1,,,,,,,,,,,,,,,,SMIM15,TMEM50A,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,VPS37B,,,,,TOMM7,,,,,,,,,,,,,,,,,,,,,,,,,,,XBP1,,,,,,,,,,,,,,,,,,,,,,SNHG3,,,,,,,,,,,,,,,,SMNDC1,TMEM59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,XRCC5,,,,,TOP2B,,,,,,,,,,,,,,,,,,,,,,,,,,,XCL1,,,,,,,,,,,,,,,,,,,,,,SNRPB,,,,,,,,,,,,,,,,SMS,TMEM70,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,YAF2,,,,,TOX4,,,,,,,,,,,,,,,,,,,,,,,,,,,XCL2,,,,,,,,,,,,,,,,,,,,,,SOCS2,,,,,,,,,,,,,,,,SNAP23,TMSB10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,YWHAH,,,,,TPI1,,,,,,,,,,,,,,,,,,,,,,,,,,,XIST,,,,,,,,,,,,,,,,,,,,,,SORL1,,,,,,,,,,,,,,,,SNHG5,TOMM22,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ZBTB1,,,,,TRADD,,,,,,,,,,,,,,,,,,,,,,,,,,,XRCC6,,,,,,,,,,,,,,,,,,,,,,SP100,,,,,,,,,,,,,,,,SNHG8,TRAPPC6A,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ZBTB44,,,,,TRAPPC1,,,,,,,,,,,,,,,,,,,,,,,,,,,YWHAZ,,,,,,,,,,,,,,,,,,,,,,SP110,,,,,,,,,,,,,,,,SNRPB,TRMT112,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ZBTB8OS,,,,,TRIM33,,,,,,,,,,,,,,,,,,,,,,,,,,,ZBTB4,,,,,,,,,,,,,,,,,,,,,,SP3,,,,,,,,,,,,,,,,SNRPB2,TSC22D3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ZEB2,,,,,TRMT112,,,,,,,,,,,,,,,,,,,,,,,,,,,ZFAS1,,,,,,,,,,,,,,,,,,,,,,SPOCK2,,,,,,,,,,,,,,,,SNRPC,TSNAX,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ZFAND1,,,,,TTC1,,,,,,,,,,,,,,,,,,,,,,,,,,,ZFP36L2,,,,,,,,,,,,,,,,,,,,,,SPTAN1,,,,,,,,,,,,,,,,SNRPD1,TTC39C,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ZFP36L2,,,,,TTC17,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF131,,,,,,,,,,,,,,,,,,,,,,SPTSSA,,,,,,,,,,,,,,,,SNRPE,TUG1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ZNF226,,,,,TTC38,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF276,,,,,,,,,,,,,,,,,,,,,,SRPK2,,,,,,,,,,,,,,,,SNU13,TXN2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ZNF331,,,,,TTC39C,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF394,,,,,,,,,,,,,,,,,,,,,,SRSF5,,,,,,,,,,,,,,,,SNW1,TXNL1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ZNF518A,,,,,TXN2,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF429,,,,,,,,,,,,,,,,,,,,,,SRSF7,,,,,,,,,,,,,,,,SNX10,TXNL4A,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ZNF580,,,,,TXNL1,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF493,,,,,,,,,,,,,,,,,,,,,,SSU72,,,,,,,,,,,,,,,,SP100,TYROBP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ZNF600,,,,,TYW3,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF580,,,,,,,,,,,,,,,,,,,,,,STAT2,,,,,,,,,,,,,,,,SPCS3,UBAC2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,UBA52,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF585A,,,,,,,,,,,,,,,,,,,,,,STAT3,,,,,,,,,,,,,,,,SPTSSA,UBB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,UBAC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAT6,,,,,,,,,,,,,,,,SRI,UGGT1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRAP,,,,,,,,,,,,,,,,SRP14,UQCRB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STX16,,,,,,,,,,,,,,,,SRP19,UQCRFS1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STX4,,,,,,,,,,,,,,,,SRSF5,UQCRQ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2L6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUMO3,,,,,,,,,,,,,,,,SRSF7,UTP18,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,UBL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNE1,,,,,,,,,,,,,,,,SSB,VAPA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,UBL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SZRD1,,,,,,,,,,,,,,,,SSBP1,VPS4A,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,UIMC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAF12,,,,,,,,,,,,,,,,SSR2,WAC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,UNC119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAGAP,,,,,,,,,,,,,,,,STAT2,WASF2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,VAMP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCEA1,,,,,,,,,,,,,,,,STK17B,XRN2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,VASP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTEX1D2,,,,,,,,,,,,,,,,STX17,YBX1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,VMA21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGFBR3,,,,,,,,,,,,,,,,SURF1,YTHDF2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,WAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THRAP3,,,,,,,,,,,,,,,,SYF2,YWHAB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,WIPF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIMMDC1,,,,,,,,,,,,,,,,SZRD1,YWHAZ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,WSB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLN1,,,,,,,,,,,,,,,,TADA3,YY1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,WTAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TM2D1,,,,,,,,,,,,,,,,TAF12,ZAP70,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,YTHDC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMED10,,,,,,,,,,,,,,,,TBPL1,ZBTB7A,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,YWHAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMED2,,,,,,,,,,,,,,,,TCP1,ZC3H13,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ZBTB16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMED4,,,,,,,,,,,,,,,,TERF2IP,ZC3H8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ZFP91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMED7,,,,,,,,,,,,,,,,TES,ZNF24,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM126A,,,,,,,,,,,,,,,,TGOLN2,ZNF791,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM128,,,,,,,,,,,,,,,,THOC2,,,,,,,,,,,,,,,,
